	Contig_name	Sample	Contig_length	ARG	Gene	Gene2	Fam	identity	coverage	start	end	Country	Technology	kraken2023	kaiju_nr_euk	kaiju_refseq	Diamond_nr	Class	Tax	Diamond_nr_genes	Integron	Platon_ID	Length	Coverage	X._ORFs	RDS	Circular	Inc_Type.s.	X._Replication	X._Mobilization	X._OriT	X._Conjugation	X._AMRs	X._rRNAs	X._Plasmid_Hits	SYNTENY	DIRECTION	CLADE_A	CLADE_B	LCA	Surface
11	CAR1_ita_i_NODE_151405_length_841_cov_3.583969	CAR1_ita_i	841	lnu(P)_1_FJ589781	lnu(P)	lnu(P)	Lincosamide	100	100	272	772	Italy	illumina	Sarcina ventriculi 	Bacteria	Bacteria	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Clostridia;o_Eubacteriales"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Clostridia;o_Eubacteriales"	o	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
12	CAR1_ita_i_NODE_16542_length_4199_cov_9.152751	CAR1_ita_i	4199	tet(Q)_1_L33696	tet(Q)	tet(Q)	Tetracycline	99.844	997.403.946.002.077	2279	4199	Italy	illumina	Porphyromonas loveana 	Bacteria	Bacteroidota	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales"	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales"	o	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
13	CAR1_ita_i_NODE_19201_length_3790_cov_6.497724	CAR1_ita_i	3790	ant(6)-Ib_1_FN594949	ant(6)-Ib	ant(6)-Ib	Aminoglycoside	99.65	100	35	892	Italy	illumina	Amedibacterium intestinale 	Eubacteriales	Bacteria	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
14	CAR1_ita_i_NODE_19201_length_3790_cov_6.497724	CAR1_ita_i	3790	tet(44)_1_NZ_ABDU01000081	tet(44)	tet(44)	Tetracycline	99.272	100	1207	3129	Italy	illumina	Amedibacterium intestinale 	Eubacteriales	Bacteria	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
15	CAR1_ita_i_NODE_204178_length_675_cov_4.690323	CAR1_ita_i	675	dfrA1_8_X00926	dfrA1	dfrA1	Folate pathway antagonist	100	100	72	545	Italy	illumina	Bacteria 	Bacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae"	f	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
16	CAR1_ita_i_NODE_21290_length_3516_cov_5.359434	CAR1_ita_i	3516	lnu(A)_1_M14039	lnu(A)	lnu(A)	Lincosamide	98.765	100	1538	2023	Italy	illumina	Agrilactobacillus yilanensis 	Lactobacillales	Limosilactobacillus reuteri	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales"	o	Genes: 4	-	CAR1_ita_i_NODE_21290_length_3516_cov_5.359434	3516	NA	4	0.4	no	0	0	1	0	0	1	0	0	-	-	-	-	-	carcass
17	CAR1_ita_i_NODE_22_length_114448_cov_23.756690	CAR1_ita_i	114448	msr(D)_2_AF274302	msr(D)	msr(D)	Macrolide, Streptogramin B	97.541	100	672	2135	Italy	illumina	Streptococcus suis BM407 	Streptococcus suis	Streptococcus suis	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	s	Genes: 117	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
18	CAR1_ita_i_NODE_22394_length_3391_cov_13.916367	CAR1_ita_i	3391	blaCEPH-A3_1_AY112998	blaCEPH-A3	cphA like	Beta-lactam	96.732	100	103	867	Italy	illumina	Aeromonas veronii 	Aeromonas	Aeromonas	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas veronii"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas veronii"	s	Genes: 3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
19	CAR1_ita_i_NODE_23634_length_3262_cov_7.167134	CAR1_ita_i	3262	tet(A)_6_AF534183	tet(A)	tet(A)	Tetracycline	100	978.039.215.686.274	930	2176	Italy	illumina	Pseudomonadota 	Bacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae"	f	Genes: 4	-	CAR1_ita_i_NODE_23634_length_3262_cov_7.167134	3262	NA	4	63.6	no	0	0	0	0	0	1	0	1	-	-	-	-	-	carcass
20	CAR1_ita_i_NODE_26612_length_3002_cov_25.232779	CAR1_ita_i	3002	mph(E)_1_DQ839391	mph(E)	mph(E)	Macrolide	100	100	146	1030	Italy	illumina	Acinetobacter 	Klebsiella pneumoniae	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 2	-	CAR1_ita_i_NODE_26612_length_3002_cov_25.232779	3002	NA	2	0.4	no	0	0	0	0	0	2	0	1	-	-	-	-	-	carcass
21	CAR1_ita_i_NODE_26612_length_3002_cov_25.232779	CAR1_ita_i	3002	msr(E)_1_FR751518	msr(E)	msr(E)	Macrolide, Streptogramin B	100	100	1086	2561	Italy	illumina	Acinetobacter 	Klebsiella pneumoniae	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 2	-	CAR1_ita_i_NODE_26612_length_3002_cov_25.232779	3002	NA	2	0.4	no	0	0	0	0	0	2	0	1	-	-	-	-	-	carcass
22	CAR1_ita_i_NODE_29290_length_2804_cov_7.703529	CAR1_ita_i	2804	ant(6)-Ia_2_KF421157	ant(6)-Ia	ant(6)-Ia	Aminoglycoside	100	100	217	1080	Italy	illumina	Streptococcus alactolyticus 	Streptococcus suis	Bacillota	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
23	CAR1_ita_i_NODE_32557_length_2600_cov_8.478978	CAR1_ita_i	2600	cmx_1_U85507	cmx	cmx	Amphenicol	99.915	100	361	1536	Italy	illumina	Corynebacterium xerosis 	Bacteria	Bacteria	k_Bacteria	k_Bacteria	k	Genes: 3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
24	CAR1_ita_i_NODE_33454_length_2549_cov_13.255413	CAR1_ita_i	2549	tet(C)_3_AF055345	tet(C)	tet(C)	Tetracycline	99.832	100	660	1850	Italy	illumina	Pseudomonadota 	Bacteria	Bacteria	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
25	CAR1_ita_i_NODE_34468_length_2494_cov_19.398934	CAR1_ita_i	2494	mph(N)_1_KF648874	mph(N)	mph(N)	Macrolide	95.82	100	110	1018	Italy	illumina	Anaerotalea alkaliphila 	Anaerotalea alkaliphila	Exiguobacterium aurantiacum	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ABA	B>A	s__Escherichia_coli	s__Clostridium_sartagoforme	k__Bacteria	carcass
26	CAR1_ita_i_NODE_36146_length_2410_cov_4.701062	CAR1_ita_i	2410	floR_2_AF118107	floR	floR	Amphenicol	98.188	99.917.695.473.251	815	2028	Italy	illumina	Pseudomonadota 	Bacteria	Gammaproteobacteria	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 3	-	CAR1_ita_i_NODE_36146_length_2410_cov_4.701062	2410	NA	3	18	no	0	0	0	0	0	1	0	1	-	-	-	-	-	carcass
27	CAR1_ita_i_NODE_38113_length_2319_cov_5.689488	CAR1_ita_i	2319	aph(3')-Ia_7_X62115	aph(3')-Ia	aph(3')-Ia	Aminoglycoside	99.755	100	113	928	Italy	illumina	Acidovorax facilis 	Escherichia coli	Bacteria	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 3	-	CAR1_ita_i_NODE_38113_length_2319_cov_5.689488	2319	NA	3	0.4	no	0	0	0	0	0	1	0	1	-	-	-	-	-	carcass
28	CAR1_ita_i_NODE_39740_length_2250_cov_80.204100	CAR1_ita_i	2250	lsa(E)_1_JX560992	lsa(E)	lsa(E)	Lincosamide, Streptogramin A, Pleuromutilin	98.916	993.939.393.939.394	376	1851	Italy	illumina	Lactobacillales 	Vagococcus lutrae	Vagococcus lutrae	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	c	Genes: 3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
29	CAR1_ita_i_NODE_43217_length_2119_cov_4.926357	CAR1_ita_i	2119	mef(C)_1_AB571865	mef(C)	mef(C)	Macrolide	99.722	883.169.934.640.523	1039	2119	Italy	illumina	Empedobacter falsenii 	Bacteria	Weeksellaceae	k_Bacteria	k_Bacteria	k	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
30	CAR1_ita_i_NODE_43217_length_2119_cov_4.926357	CAR1_ita_i	2119	mph(G)_1_AB571865	mph(G)	mph(G)	Macrolide	99.774	100	150	1034	Italy	illumina	Empedobacter falsenii 	Bacteria	Weeksellaceae	k_Bacteria	k_Bacteria	k	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
31	CAR1_ita_i_NODE_4504_length_10259_cov_5.377989	CAR1_ita_i	10259	blaOXA-515_1_KU866383	blaOXA-515	blaOXA-48 like	Beta-lactam	99.248	100	1924	2721	Italy	illumina	Shewanella xiamenensis 	Shewanella xiamenensis	Shewanella xiamenensis	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Alteromonadales;f_Shewanellaceae;g_Shewanella"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Alteromonadales;f_Shewanellaceae;g_Shewanella"	g	Genes: 10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
32	CAR1_ita_i_NODE_45893_length_2029_cov_50.749747	CAR1_ita_i	2029	tet(39)_1_KT346360	tet(39)	tet(39)	Tetracycline	100	100	842	1963	Italy	illumina	Gammaproteobacteria 	Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824	Gammaproteobacteria	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	g	Genes: 2	-	CAR1_ita_i_NODE_45893_length_2029_cov_50.749747	2029	NA	2	5.1	no	0	0	0	0	0	1	0	1	-	-	-	-	-	carcass
33	CAR1_ita_i_NODE_48622_length_1944_cov_3.881419	CAR1_ita_i	1944	erm(B)_18_X66468	erm(B)	erm(B)	Macrolide, Lincosamide, Streptogramin B	98.952	100.131.233.595.801	868	1630	Italy	illumina	Streptococcus hyovaginalis DSM 12219 	Enterococcus faecalis	Bacteria	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	c	Genes: 3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
34	CAR1_ita_i_NODE_49265_length_1927_cov_2.019231	CAR1_ita_i	1927	optrA_9_KT892063	optrA	optrA	Oxazolidinone, Amphenicol	100	898.373.983.739.837	160	1927	Italy	illumina	Enterococcus raffinosus 	Lactobacillales	Lactobacillales	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales"	o	Genes: 1	-	CAR1_ita_i_NODE_49265_length_1927_cov_2.019231	1927	NA	1	0.2	no	0	0	0	0	0	0	0	1	-	-	-	-	-	carcass
35	CAR1_ita_i_NODE_50355_length_1895_cov_24.255435	CAR1_ita_i	1895	tet(W)_1_DQ060146	tet(W)	tet(W)	Tetracycline	98.814	878.125	210	1895	Italy	illumina	Megasphaera stantonii 	Bacteria	Bacteria	"k_Bacteria;n_Terrabacteria group;p_Actinomycetota"	"k_Bacteria;n_Terrabacteria group;p_Actinomycetota"	p	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
36	CAR1_ita_i_NODE_51396_length_1867_cov_3.472958	CAR1_ita_i	1867	tetA(P)_2_L20800	tetA(P)	tetA(P)	Tetracycline	97.252	950.910.530.482.977	667	1867	Italy	illumina	Clostridium 	Bacteria	Bacillota	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Clostridia;o_Eubacteriales;f_Clostridiaceae"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Clostridia;o_Eubacteriales;f_Clostridiaceae"	f	Genes: 3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
37	CAR1_ita_i_NODE_52156_length_1847_cov_4.363839	CAR1_ita_i	1847	tet(L)_2_M29725	tet(L)	tet(L)	Tetracycline	100	999.273.783.587.509	242	1617	Italy	illumina	Streptococcus suis BM407 	Bacilli	Bacteria	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	c	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
38	CAR1_ita_i_NODE_540_length_32990_cov_8.210900	CAR1_ita_i	32990	blaBRO-2_1_Z54181	blaBRO-2	blaBRO	Beta-lactam	100	100	8675	9619	Italy	illumina	Moraxella ovis 	Moraxella lacunata	Moraxella bovoculi	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Moraxella"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Moraxella"	g	Genes: 36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
39	CAR1_ita_i_NODE_54415_length_1791_cov_7.034562	CAR1_ita_i	1791	aadA5_1_AF137361	aadA5	aadA4/5	Aminoglycoside	99.747	100	945	1733	Italy	illumina	Comamonas denitrificans 	Microbacterium lindanitolerans	Bacteria	"k_Bacteria;p_Acidobacteriota;c_Terriglobia;o_Bryobacterales;n_unclassified Bryobacterales;s_Bryobacterales bacterium"	"k_Bacteria;p_Acidobacteriota;c_Terriglobia;o_Bryobacterales;n_unclassified Bryobacterales;s_Bryobacterales bacterium"	s	Genes: 2	integron found	CAR1_ita_i_NODE_54415_length_1791_cov_7.034562	1791	NA	2	10.6	no	0	0	0	0	0	1	0	0	-	-	-	-	-	carcass
40	CAR1_ita_i_NODE_56040_length_1753_cov_2.435218	CAR1_ita_i	1753	blaOXA-427_1_KX827604	blaOXA-427	blaOXA-427	Beta-lactam	86.541	100	669	1463	Italy	illumina	Aeromonas caviae 	Aeromonas	Aeromonas	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas caviae"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas caviae"	s	Genes: 3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
41	CAR1_ita_i_NODE_57393_length_1723_cov_3.160671	CAR1_ita_i	1723	tet(H)_3_Y15510	tet(H)	tet(H)	Tetracycline	99.917	100	196	1398	Italy	illumina	Gammaproteobacteria 	Bacteria	Gammaproteobacteria	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
42	CAR1_ita_i_NODE_58208_length_1705_cov_89.910909	CAR1_ita_i	1705	aph(3'')-Ib_2_AF024602	aph(3'')-Ib	aph(3'')-Ib	Aminoglycoside	100	998.756.218.905.473	879	1681	Italy	illumina	Bacteria 	Gammaproteobacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 2	-	CAR1_ita_i_NODE_58208_length_1705_cov_89.910909	1705	NA	2	26.4	no	0	0	0	0	0	2	0	1	-	-	-	-	-	carcass
43	CAR1_ita_i_NODE_58208_length_1705_cov_89.910909	CAR1_ita_i	1705	aph(6)-Id_1_M28829	aph(6)-Id	aph(6)-Id	Aminoglycoside	100	100	43	879	Italy	illumina	Bacteria 	Gammaproteobacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 2	-	CAR1_ita_i_NODE_58208_length_1705_cov_89.910909	1705	NA	2	26.4	no	0	0	0	0	0	2	0	1	-	-	-	-	-	carcass
44	CAR1_ita_i_NODE_58949_length_1689_cov_16.574051	CAR1_ita_i	1689	sul1_5_EU780013	sul1	sul1	Folate pathway antagonist	99.885	100	88	954	Italy	illumina	Bacteria 	Pseudomonas putida	root	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 3	-	CAR1_ita_i_NODE_58949_length_1689_cov_16.574051	1689	NA	2	19.5	no	0	0	0	0	0	1	0	1	-	-	-	-	-	carcass
45	CAR1_ita_i_NODE_62805_length_1612_cov_8.994220	CAR1_ita_i	1612	tet(Y)_1_EF495198	tet(Y)	tet(Y)	Tetracycline	100	100	40	1215	Italy	illumina	Gammaproteobacteria 	Bacteria	Gammaproteobacteria	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 1	-	CAR1_ita_i_NODE_62805_length_1612_cov_8.994220	1612	NA	2	0.3	no	0	0	0	0	0	1	0	1	-	-	-	-	-	carcass
46	CAR1_ita_i_NODE_67152_length_1535_cov_3.913514	CAR1_ita_i	1535	ant(6)-Ia_3_KF864551	ant(6)-Ia	ant(6)-Ia	Aminoglycoside	100	100	76	942	Italy	illumina	Bacillota 	Bacteria	Bacteria	k_Bacteria	k_Bacteria	k	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
47	CAR1_ita_i_NODE_6842_length_7739_cov_21.404867	CAR1_ita_i	7739	ampS_1_X80276	ampS	ampS	Beta-lactam	95.299	989.937.106.918.239	5033	5819	Italy	illumina	Aeromonas veronii 	Aeromonas	Aeromonas	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas veronii"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas veronii"	s	Genes: 7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
48	CAR1_ita_i_NODE_70601_length_1478_cov_3.845397	CAR1_ita_i	1478	tet(40)_1_FJ158002	tet(40)	tet(40)	Tetracycline	99.427	100	19	1239	Italy	illumina	Enterocloster aldenensis 	Bacteria	Bacillota	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Clostridia;o_Eubacteriales"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Clostridia;o_Eubacteriales"	o	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
